classifier_name,fit_time,score_time,cv_acc,cv_prec_macro,cv_rec_macro,cv_f1_macro,cv_roc_auc,cv_pr_auc
SVM_lin,4.171850919723511,0.15494070053100586,0.7566105945480065,0.5647325349600216,0.7768339730164924,0.5487416297745986,0.8593041979095964,0.24209114186926292
RF_150,0.48098344802856446,0.17237281799316406,0.8138529356312827,0.564420456742183,0.71872825083622,0.5688818023137446,0.8119222898850147,0.18314667473243867
NB_smooth,0.013216924667358399,0.015498113632202149,0.4584256313724551,0.5386970665803549,0.701132842353922,0.3753394441786796,0.8323578814131514,0.18163311934877907
RF_50,0.19565811157226562,0.10624508857727051,0.8170299234183144,0.5595923150142276,0.6966847144610642,0.5636187567199871,0.8037310439624065,0.17875711054177226
NB_default,0.013835430145263672,0.01590752601623535,0.1922709058425332,0.5264163732273801,0.5707274534909497,0.18475001926603282,0.8327301131960516,0.17517587815071795
SVM_rbf,4.531312704086304,0.3593430519104004,0.8096844858492964,0.5515171714116784,0.6712242781073114,0.5510787823630549,0.7947113854440333,0.15932355313752808
DT_5,0.02162327766418457,0.01811494827270508,0.7896358853579049,0.5522836969332862,0.6840871745498995,0.5452231198162194,0.7792475054011044,0.1366910392662415
DT_3,0.015586519241333007,0.016542434692382812,0.7639572291734625,0.5596795718995069,0.7471101782027232,0.5450586947132267,0.8080194950664102,0.13378974787531195
KNN_7,0.023692512512207033,0.10388269424438476,0.8182500231929686,0.5309238112786051,0.5922135187816422,0.5266137343585522,0.6684885917019592,0.08369663373973983
KNN_3,0.026807832717895507,0.08472232818603516,0.8546982968879526,0.5206255030059972,0.5468282652408616,0.5204830955584152,0.5806697655733646,0.06633711743476847
